"ID","Name","RA","DEC","Obj. Type","Redshift","Host Name","Host Redshift","Reporting Group/s","Discovery Data Source/s","Classifying Group/s","Associated Group/s","Disc. Internal Name","Disc. Instrument/s","Class. Instrument/s","TNS AT","Public","End Prop. Period","Discovery Mag/Flux","Discovery Filter","Discovery Date (UT)","Sender","Remarks","Ext. catalog/s"
"6280","SN 2013fh","04:21:38.201","-17:55:41.41","SN Ia","","ESO 550-G26     ","","","","","","","","","0","1","","18.5","","2013-08-30 00:00:00.000","","[Discoverer=Parker; DiscoveryRef=CBET 3651; PositionRef=CBET 3651; Orig Type=Ia]",""
"6279","SN 2013fg","08:21:22.440","-13:18:37.01","SN Ia","","NGC 2578        ","","","","","","","","","0","1","","15.4","","2013-09-02 00:00:00.000","","[Discoverer=Parker; DiscoveryRef=CBET 3648; PositionRef=CBET 3648; Orig Type=Ia]",""
"6277","SN 2013fe","03:03:53.249","-39:24:20.20","SN Ia","","IC 1875         ","","","","","","","","","0","1","","14.4","","2013-08-13 00:00:00.000","","[Discoverer=Antezana, Pignata et al. (CHASE); DiscoveryRef=CBET 3646; PositionRef=CBET 3646; Orig Type=Ia]",""
"6274","SN 2013fb","02:22:42.070","+28:16:01.20","SN Ia","","IC 221          ","","","","","","","","","0","1","","16","","2013-08-27 00:00:00.000","","[Discoverer=Tsuboi; DiscoveryRef=CBET 3643; PositionRef=CBET 3643; Orig Type=Ia]",""
"6273","SN 2013fa","20:43:53.570","+12:30:51.70","SN Ia","","NGC 6956        ","","","","","","","","","0","1","","16.2","","2013-08-25 00:00:00.000","","[Discoverer=Itagaki; DiscoveryRef=CBET 3641; PositionRef=CBET 3641; Orig Type=Ia]",""
"6270","SN 2013ey","20:58:03.730","+11:03:10.80","SN Ia","","Anon.           ","","","","","","","","","0","1","","16.3","","2013-08-11 00:00:00.000","","[Discoverer=Ciabattari, Mazzoni, Rossi; DiscoveryRef=CBET 3636; PositionRef=CBET 3636; Orig Type=Ia]",""
"6269","SN 2013ex","05:32:46.620","-14:02:45.38","SN Ia","","NGC 1954        ","","","","","","","","","0","1","","15.6","","2013-08-19 00:00:00.000","","[Discoverer=Brimacombe, Prieto et al. (All-Sky Automated Survey for SuperNovae); DiscoveryRef=CBET 3635; PositionRef=CBET 3635; Orig Type=Ia]",""
"6266","SN 2013eu","10:24:22.310","+78:36:23.51","SN Ia","","UGC 5609        ","","","","","","","","","0","1","","15.6","","2013-08-11 00:00:00.000","","[Discoverer=Cortini; DiscoveryRef=CBET 3625; PositionRef=CBET 3625; Orig Type=Ia]",""
"6265","SN 2013et","02:14:17.050","+07:35:11.80","SN Ia","","UGC 1723        ","","","","","","","","","0","1","","18.4","","2013-08-02 00:00:00.000","","[Discoverer=Ciabattari, Mazzoni, Donati; DiscoveryRef=CBET 3624; PositionRef=CBET 3624; Orig Type=Ia]",""
"6263","SN 2013er","13:07:51.091","-00:52:00.41","SN Ia","","IC 850          ","","","","","","","","","0","1","","17.4","","2013-07-29 00:00:00.000","","[Discoverer=Parker; DiscoveryRef=CBET 3619; PositionRef=CBET 3619; Orig Type=Ia]",""
"6260","SN 2013eo","20:06:57.881","-56:25:31.19","SN Ia","","Anon.           ","","","","","","","","","0","1","","17.4","","2013-07-31 00:00:00.000","","[Discoverer=Marples, Bock; DiscoveryRef=CBET 3614; PositionRef=CBET 3614; Orig Type=Ia]",""
"6258","SN 2013em","23:02:26.621","+32:31:31.19","SN Ia","0.022","Anon.           ","","","","DAO_OTS","","","","Plaskett - Plaskett","0","1","","16.7","","2013-07-27 00:00:00.000","","[Discoverer=Ciabattari, Mazzoni, Petroni; DiscoveryRef=CBET 3612; PositionRef=CBET 3612; Orig Type=Ia]",""
"6254","SN 2013ei","21:26:31.930","+12:10:49.40","SN Ia","","NGC 7068        ","","","","","","","","","0","1","","16","","2013-06-26 00:00:00.000","","[Discoverer=Kochanek, Prieto et al. (ASAS-SN); DiscoveryRef=CBET 3602; PositionRef=CBET 3602; Orig Type=Ia]",""
