"ID","Name","RA","DEC","Obj. Type","Redshift","Host Name","Host Redshift","Reporting Group/s","Discovery Data Source/s","Classifying Group/s","Associated Group/s","Disc. Internal Name","Disc. Instrument/s","Class. Instrument/s","TNS AT","Public","End Prop. Period","Discovery Mag/Flux","Discovery Filter","Discovery Date (UT)","Sender","Remarks","Ext. catalog/s"
"3933","SN 2006qz","00:25:21.710","+17:51:48.31","SN Ia","","Anon.           ","","","","","","","","","0","1","","20.2","","2006-10-23 00:00:00.000","","[Discoverer=&quot;Nearby Supernova Factory&quot; collaboration; DiscoveryRef=CBET 768; PositionRef=CBET  768; Orig Type=Ia   ]",""
"3932","SN 2006qy","23:45:36.120","-12:11:55.00","SN Ia","","Anon.           ","","","","","","","","","0","1","","19.2","","2006-10-23 00:00:00.000","","[Discoverer=&quot;Nearby Supernova Factory&quot; collaboration; DiscoveryRef=CBET 768; PositionRef=CBET  768; Orig Type=Ia   ]",""
"3931","SN 2006qx","01:02:43.231","+27:41:54.60","SN Ia","","Anon.           ","","","","","","","","","0","1","","19.6","","2006-10-22 00:00:00.000","","[Discoverer=&quot;Nearby Supernova Factory&quot; collaboration; DiscoveryRef=CBET 768; PositionRef=CBET  768; Orig Type=Ia   ]",""
"3930","SN 2006qw","03:08:46.879","+18:56:26.02","SN Ia","","Anon.           ","","","","","","","","","0","1","","17.9","","2006-10-21 00:00:00.000","","[Discoverer=&quot;Nearby Supernova Factory&quot; collaboration; DiscoveryRef=CBET 768; PositionRef=CBET  768; Orig Type=Ia   ]",""
"3929","SN 2006qv","01:48:32.350","+18:12:19.58","SN Ia","","Anon.           ","","","","","","","","","0","1","","18.8","","2006-10-19 00:00:00.000","","[Discoverer=&quot;Nearby Supernova Factory&quot; collaboration; DiscoveryRef=CBET 768; PositionRef=CBET  768; Orig Type=Ia   ]",""
"3928","SN 2006qu","21:37:01.469","-17:40:09.91","SN Ia","","Anon.           ","","","","","","","","","0","1","","18.9","","2006-10-19 00:00:00.000","","[Discoverer=&quot;Nearby Supernova Factory&quot; collaboration; DiscoveryRef=CBET 768; PositionRef=CBET  768; Orig Type=Ia   ]",""
"3926","SN 2006qs","00:33:27.319","+11:53:14.78","SN Ia","","Anon.           ","","","","","","","","","0","1","","19.8","","2006-10-10 00:00:00.000","","[Discoverer=&quot;Nearby Supernova Factory&quot; collaboration; DiscoveryRef=CBET 768; PositionRef=CBET  768; Orig Type=Ia   ]",""
"3922","SN 2006qo","08:00:08.371","+56:22:07.72","SN Ia","","UGC 4133        ","","","","","","","","","0","1","","18.9","","2006-11-29 00:00:00.000","","[Discoverer=Joubert, Li (LOSS); DiscoveryRef=CBET 763; PositionRef=CBET  763; Orig Type=Ia?  ]",""
"3919","SN 2006ql","01:50:09.110","+00:25:13.69","SN Ia","","Anon.           ","","","","","","","","","0","1","","22.8","","2006-11-23 00:00:00.000","","[Discoverer=Sloan Digital Sky Survey II; DiscoveryRef=CBET 762; PositionRef=CBET  762; Orig Type=Ia   ]",""
"3917","SN 2006qj","20:11:05.609","-00:19:11.78","SN Ia","","Anon.           ","","","","","","","","","0","1","","21.4","","2006-11-20 00:00:00.000","","[Discoverer=Sloan Digital Sky Survey II; DiscoveryRef=CBET 762; PositionRef=CBET  762; Orig Type=Ia   ]",""
"3916","SN 2006qi","01:50:19.560","+00:53:05.60","SN Ia","","Anon.           ","","","","","","","","","0","1","","22.2","","2006-11-20 00:00:00.000","","[Discoverer=Sloan Digital Sky Survey II; DiscoveryRef=CBET 762; PositionRef=CBET  762; Orig Type=Ia   ]",""
"3915","SN 2006qh","21:47:53.021","+00:42:24.59","SN Ia","","Anon.           ","","","","","","","","","0","1","","22.4","","2006-11-19 00:00:00.000","","[Discoverer=Sloan Digital Sky Survey II; DiscoveryRef=CBET 762; PositionRef=CBET  762; Orig Type=Ia   ]",""
"3914","SN 2006qg","21:54:18.089","+00:26:49.20","SN Ia","","Anon.           ","","","","","","","","","0","1","","22","","2006-11-18 00:00:00.000","","[Discoverer=Sloan Digital Sky Survey II; DiscoveryRef=CBET 762; PositionRef=CBET  762; Orig Type=Ia   ]",""
"3912","SN 2006qe","23:12:19.980","-00:32:03.91","SN Ia","","Anon.           ","","","","","","","","","0","1","","22.8","","2006-11-16 00:00:00.000","","[Discoverer=Sloan Digital Sky Survey II; DiscoveryRef=CBET 762; PositionRef=CBET  762; Orig Type=Ia   ]",""
"3911","SN 2006qd","23:08:05.141","-00:10:33.89","SN Ia","","Anon.           ","","","","","","","","","0","1","","22.6","","2006-11-16 00:00:00.000","","[Discoverer=Sloan Digital Sky Survey II; DiscoveryRef=CBET 762; PositionRef=CBET  762; Orig Type=Ia   ]",""
"3910","SN 2006qc","20:51:19.841","-00:57:08.39","SN Ia","","Anon.           ","","","","","","","","","0","1","","22.6","","2006-11-16 00:00:00.000","","[Discoverer=Sloan Digital Sky Survey II; DiscoveryRef=CBET 762; PositionRef=CBET  762; Orig Type=Ia   ]",""
"3909","SN 2006qb","03:28:14.650","-00:12:03.49","SN Ia","","Anon.           ","","","","","","","","","0","1","","22.3","","2006-11-16 00:00:00.000","","[Discoverer=Sloan Digital Sky Survey II; DiscoveryRef=CBET 762; PositionRef=CBET  762; Orig Type=Ia   ]",""
"3908","SN 2006qa","03:01:09.730","-00:01:34.50","SN Ia","","Anon.           ","","","","","","","","","0","1","","23","","2006-11-16 00:00:00.000","","[Discoverer=Sloan Digital Sky Survey II; DiscoveryRef=CBET 762; PositionRef=CBET  762; Orig Type=Ia   ]",""
"3906","SN 2006pz","02:55:08.239","+00:14:05.21","SN Ia","","Anon.           ","","","","","","","","","0","1","","22.7","","2006-11-16 00:00:00.000","","[Discoverer=Sloan Digital Sky Survey II; DiscoveryRef=CBET 762; PositionRef=CBET  762; Orig Type=Ia   ]",""
"3905","SN 2006py","22:41:42.050","-00:08:12.91","SN Ia","","Anon.           ","","","","","","","","","0","1","","21.3","","2006-11-15 00:00:00.000","","[Discoverer=Sloan Digital Sky Survey II; DiscoveryRef=CBET 762; PositionRef=CBET  762; Orig Type=Ia   ]",""
"3904","SN 2006px","23:33:17.100","+00:57:40.00","SN Ia","","Anon.           ","","","","","","","","","0","1","","22.3","","2006-11-14 00:00:00.000","","[Discoverer=Sloan Digital Sky Survey II; DiscoveryRef=CBET 762; PositionRef=CBET  762; Orig Type=Ia   ]",""
"3903","SN 2006pw","22:46:26.959","+01:09:02.92","SN Ia","","Anon.           ","","","","","","","","","0","1","","22.6","","2006-11-14 00:00:00.000","","[Discoverer=Sloan Digital Sky Survey II; DiscoveryRef=CBET 762; PositionRef=CBET  762; Orig Type=Ia   ]",""
"3902","SN 2006pv","03:38:29.470","-00:40:32.09","SN Ia","","Anon.           ","","","","","","","","","0","1","","21.4","","2006-11-14 00:00:00.000","","[Discoverer=Sloan Digital Sky Survey II; DiscoveryRef=CBET 762; PositionRef=CBET  762; Orig Type=Ia   ]",""
"3900","SN 2006pt","02:27:16.169","-00:23:36.49","SN Ia","","Anon.           ","","","","","","","","","0","1","","22.1","","2006-11-14 00:00:00.000","","[Discoverer=Sloan Digital Sky Survey II; DiscoveryRef=CBET 762; PositionRef=CBET  762; Orig Type=Ia   ]",""
"3899","SN 2006ps","01:43:45.300","-01:06:42.91","SN Ia","","Anon.           ","","","","","","","","","0","1","","22.2","","2006-11-14 00:00:00.000","","[Discoverer=Sloan Digital Sky Survey II; DiscoveryRef=CBET 762; PositionRef=CBET  762; Orig Type=Ia   ]",""
"3898","SN 2006pr","01:34:14.690","-00:24:13.10","SN Ia","","Anon.           ","","","","","","","","","0","1","","21.7","","2006-11-14 00:00:00.000","","[Discoverer=Sloan Digital Sky Survey II; DiscoveryRef=CBET 762; PositionRef=CBET  762; Orig Type=Ia   ]",""
"3897","SN 2006pq","01:25:07.051","-01:13:08.18","SN Ia","","Anon.           ","","","","","","","","","0","1","","22.2","","2006-11-14 00:00:00.000","","[Discoverer=Sloan Digital Sky Survey II; DiscoveryRef=CBET 762; PositionRef=CBET  762; Orig Type=Ia   ]",""
"3896","SN 2006pp","00:48:58.471","+00:28:36.98","SN Ia","","Anon.           ","","","","","","","","","0","1","","22.6","","2006-11-14 00:00:00.000","","[Discoverer=Sloan Digital Sky Survey II; DiscoveryRef=CBET 762; PositionRef=CBET  762; Orig Type=Ia   ]",""
"3895","SN 2006po","20:23:15.170","-00:50:54.60","SN Ia","","Anon.           ","","","","","","","","","0","1","","21.4","","2006-11-13 00:00:00.000","","[Discoverer=Sloan Digital Sky Survey II; DiscoveryRef=CBET 762; PositionRef=CBET  762; Orig Type=Ia   ]",""
"3894","SN 2006pn","03:49:02.849","-00:31:58.01","SN Ia","","Anon.           ","","","","","","","","","0","1","","21.6","","2006-11-13 00:00:00.000","","[Discoverer=Sloan Digital Sky Survey II; DiscoveryRef=CBET 762; PositionRef=CBET  762; Orig Type=Ia   ]",""
"3893","SN 2006pm","21:54:50.280","+00:56:01.21","SN Ia","","Anon.           ","","","","","","","","","0","1","","21.7","","2006-11-11 00:00:00.000","","[Discoverer=Sloan Digital Sky Survey II; DiscoveryRef=CBET 762; PositionRef=CBET  762; Orig Type=Ia   ]",""
"3892","SN 2006pl","21:54:26.921","+00:35:18.71","SN Ia","","Anon.           ","","","","","","","","","0","1","","21.9","","2006-11-11 00:00:00.000","","[Discoverer=Sloan Digital Sky Survey II; DiscoveryRef=CBET 762; PositionRef=CBET  762; Orig Type=Ia   ]",""
"3891","SN 2006pk","23:04:59.849","-00:52:24.10","SN Ia","","Anon.           ","","","","","","","","","0","1","","21.4","","2006-11-09 00:00:00.000","","[Discoverer=Sloan Digital Sky Survey II; DiscoveryRef=CBET 762; PositionRef=CBET  762; Orig Type=Ia   ]",""
"3890","SN 2006pj","22:37:18.350","+00:44:17.30","SN Ia","","Anon.           ","","","","","","","","","0","1","","22.2","","2006-11-09 00:00:00.000","","[Discoverer=Sloan Digital Sky Survey II; DiscoveryRef=CBET 762; PositionRef=CBET  762; Orig Type=Ia   ]",""
"3889","SN 2006pi","22:03:16.601","-00:36:24.59","SN Ia","","Anon.           ","","","","","","","","","0","1","","22","","2006-11-09 00:00:00.000","","[Discoverer=Sloan Digital Sky Survey II; DiscoveryRef=CBET 762; PositionRef=CBET  762; Orig Type=Ia   ]",""
"3888","SN 2006ph","21:34:33.480","-00:53:08.99","SN Ia","","Anon.           ","","","","","","","","","0","1","","21.3","","2006-11-09 00:00:00.000","","[Discoverer=Sloan Digital Sky Survey II; DiscoveryRef=CBET 762; PositionRef=CBET  762; Orig Type=Ia   ]",""
"3887","SN 2006pg","03:27:20.710","+01:05:22.81","SN Ia","","Anon.           ","","","","","","","","","0","1","","22.1","","2006-11-09 00:00:00.000","","[Discoverer=Sloan Digital Sky Survey II; DiscoveryRef=CBET 762; PositionRef=CBET  762; Orig Type=Ia   ]",""
"3886","SN 2006pf","01:41:45.130","-00:11:20.90","SN Ia","","Anon.           ","","","","","","","","","0","1","","22.5","","2006-11-09 00:00:00.000","","[Discoverer=Sloan Digital Sky Survey II; DiscoveryRef=CBET 762; PositionRef=CBET  762; Orig Type=Ia   ]",""
"3885","SN 2006pe","00:23:09.170","-00:03:13.10","SN Ia","","Anon.           ","","","","","","","","","0","1","","21","","2006-11-09 00:00:00.000","","[Discoverer=Sloan Digital Sky Survey II; DiscoveryRef=CBET 762; PositionRef=CBET  762; Orig Type=Ia   ]",""
"3884","SN 2006pd","23:31:46.121","-00:40:05.02","SN Ia","","Anon.           ","","","","","","","","","0","1","","21.1","","2006-11-08 00:00:00.000","","[Discoverer=Sloan Digital Sky Survey II; DiscoveryRef=CBET 762; PositionRef=CBET  762; Orig Type=Ia   ]",""
