"ID","Name","RA","DEC","Obj. Type","Redshift","Host Name","Host Redshift","Reporting Group/s","Discovery Data Source/s","Classifying Group/s","Associated Group/s","Disc. Internal Name","Disc. Instrument/s","Class. Instrument/s","TNS AT","Public","End Prop. Period","Discovery Mag/Flux","Discovery Filter","Discovery Date (UT)","Sender","Remarks","Ext. catalog/s"
"35948","SN 2019cxg","13:48:09.000","+30:49:54.34","SN Ia","0.06","","","ZTF, ATLAS, GaiaAlerts, Pan-STARRS1","ZTF, ATLAS, GaiaAlerts, Pan-STARRS1","ZTF","ATLAS; GaiaAlerts; Pan-STARRS1; ZTF","ZTF19aaozpew","ATLAS1 - ACAM1, Gaia - Gaia-photometric, P48 - ZTF-Cam, PS1 - GPC1","P60 - SEDM","1","1","","19.15","r-ZTF","2019-04-07 07:15:04.000","ZTF_AMPEL_NEW","",""
"35946","SN 2019cxe","12:00:55.340","+10:34:36.01","SN Ia","0.0615","","","ZTF, ATLAS, GaiaAlerts, Pan-STARRS1","ZTF, ATLAS, GaiaAlerts, Pan-STARRS1","ZTF","ATLAS; GaiaAlerts; Pan-STARRS1; ZTF","ZTF19aaoyjoz","ATLAS1 - ACAM1, Gaia - Gaia-photometric, P48 - ZTF-Cam, PS1 - GPC1","P60 - SEDM","1","1","","19.27","r-ZTF","2019-04-07 06:06:27.000","ZTF_AMPEL_NEW","",""
"35944","SN 2019cxc","10:49:52.530","+16:36:36.71","SN Ia","0.1","","","ZTF","ZTF","ZTF","ZTF","ZTF19aaohyqj","P48 - ZTF-Cam","P60 - SEDM","1","1","","20","g-ZTF","2019-04-02 06:34:45.000","ZTF_AMPEL_NEW","",""
"35938","SN 2019cww","12:26:22.904","+71:33:49.12","SN Ia","0.0234","","","ZTF, GaiaAlerts, Pan-STARRS1, ATLAS","ZTF, GaiaAlerts, Pan-STARRS1, ATLAS","ZTF","ATLAS; GaiaAlerts; Pan-STARRS1; ZTF","ZTF18aathacy","ATLAS1 - ACAM1, Gaia - Gaia-photometric, P48 - ZTF-Cam, PS1 - GPC1","P60 - SEDM","1","1","","18.77","g-ZTF","2019-04-07 07:30:21.000","ZTF_AMPEL_NEW","",""
"35925","SN 2019cwj","16:23:56.220","+68:26:53.02","SN Ia","0.08","","","ATLAS, ZTF, GaiaAlerts, Pan-STARRS1","ATLAS, ZTF, GaiaAlerts, Pan-STARRS1","ZTF","ATLAS; GaiaAlerts; Pan-STARRS1; ZTF","ATLAS19etf","ATLAS1 - ACAM1, Gaia - Gaia-photometric, P48 - ZTF-Cam, PS1 - GPC1","P60 - SEDM","1","1","","18.705","cyan-ATLAS","2019-04-07 14:02:24.000","ATLAS_Bot1","",""
"35911","SN 2019cvw","05:34:26.048","+02:04:50.34","SN Ia","0.06","","","ATLAS, ZTF","ATLAS, ZTF","SCAT","ATLAS; ZTF","ATLAS19emm","ATLAS1 - ACAM1, P48 - ZTF-Cam","UH88 - SNIFS","1","1","","18.318","cyan-ATLAS","2019-04-05 06:11:31.000","ATLAS_Bot1","",""
"35909","SN 2019cvu","14:09:49.263","-26:41:39.42","SN Ia","0.043","","","ATLAS","ATLAS","SCAT","ATLAS","ATLAS19emh","ATLAS1 - ACAM1","UH88 - SNIFS","1","1","","18.811","cyan-ATLAS","2019-04-04 11:51:21.000","ATLAS_Bot1","",""
"35900","SN 2019cvl","19:32:22.129","-29:23:08.31","SN Ia","0.024","ESO460-G010","0.0238","ASAS-SN, ATLAS","ASAS-SN, ATLAS","SCAT","ASAS-SN; ATLAS","ASASSN-19ip","ASASSN-2 - Cassius, ASASSN-5 - Payne-Gaposchkin, ATLAS1 - ACAM1","UH88 - SNIFS","1","1","","17.021","g-Sloan","2019-04-04 02:03:50.000","Bersier","",""
"35857","SN 2019ctu","10:40:38.578","+12:13:10.30","SN Ia","0.095","","","ZTF, ATLAS","ZTF, ATLAS","SCAT","ATLAS; ZTF","ZTF19aanfzox","ATLAS1 - ACAM1, P48 - ZTF-Cam","UH88 - SNIFS","1","1","","19.25","g-ZTF","2019-03-30 06:04:20.000","ZTF_AMPEL_COMPLETE","",""
"35844","SN 2019cth","14:45:47.490","+50:23:48.34","SN Ia","0.013433","IC1056","0.013344","POSS, ATLAS, GaiaAlerts","POSS, ATLAS, GaiaAlerts","Global SN Project","ATLAS; GaiaAlerts; POSS","","ATLAS1 - ACAM1, Gaia - Gaia-photometric, Other - Other","FTN - FLOYDS-N","1","1","","19","Clear-","2019-04-03 06:24:38.000","Post","",""
