"ID"    ,"Name"        ,"RA"           ,"DEC"          ,"Obj. Type" ,"Redshift" ,"Host Name"                  ,"Host Redshift" ,"Reporting Group/s"                              ,"Discovery Data Source/s"                        ,"Classifying Group/s"    ,"Associated Group/s"                             ,"Disc. Internal Name"   ,"Disc. Instrument/s"                                                                     ,"Class. Instrument/s"                      ,"TNS AT" ,"Public" ,"End Prop. Period" ,"Discovery Mag/Flux" ,"Discovery Filter" ,"Discovery Date (UT)"     ,"Sender"             ,"Remarks"                                                                                                                                                                                            ,"Ext. catalog/s"
"60581" ,"SN 2020kzs"  ,"17:14:55.025" ,"+35:31:13.72" ,"SN Ib"     ,"0.0374"   ,""                           ,""              ,"ZTF"                                            ,"ZTF"                                            ,"ZTF"                    ,"ZTF"                                            ,"ZTF20abbpkng"          ,"P48 - ZTF-Cam"                                                                          ,""                                         ,"1"      ,"1"      ,""                 ,"19.34"              ,"r-ZTF"            ,"2020-05-25 07:32:50.208" ,"ZTF_AMPEL_NEW"      ,""                                                                                                                                                                                                   ,""
"60517" ,"SN 2020kxg"  ,"13:20:00.505" ,"-16:39:40.06" ,"SN Ib"     ,"0.015"    ,""                           ,""              ,"ZTF, ATLAS, Pan-STARRS1"                        ,"ZTF, ATLAS, Pan-STARRS1"                        ,"ZTF"                    ,"ATLAS; Pan-STARRS1; ZTF"                        ,"ZTF20abbhrrt"          ,"ATLAS1 - ACAM1, P48 - ZTF-Cam, PS1 - GPC1"                                              ,"P60 - SEDM"                               ,"1"      ,"1"      ,""                 ,"19.06"              ,"g-ZTF"            ,"2020-05-24 06:00:37.152" ,"ZTF_AMPEL_NEW"      ,""                                                                                                                                                                                                   ,""
"60380" ,"SN 2020ksa"  ,"10:59:27.944" ,"+46:07:28.45" ,"SN Ib"     ,"0.022239" ,""                           ,""              ,"ZTF, ATLAS, Pan-STARRS1"                        ,"ZTF, ATLAS, Pan-STARRS1"                        ,"ZTF"                    ,"ATLAS; Pan-STARRS1; ZTF"                        ,"ZTF20abaszgh"          ,"ATLAS1 - ACAM1, P48 - ZTF-Cam, PS1 - GPC1"                                              ,"P200 - DBSP"                              ,"1"      ,"1"      ,""                 ,"18.8"               ,"g-ZTF"            ,"2020-05-22 04:18:34.848" ,"ZTF_AMPEL_NEW"      ,""                                                                                                                                                                                                   ,""
"59659" ,"SN 2020jqx"  ,"14:18:13.785" ,"-05:56:30.83" ,"SN Ib"     ,"0.0599"   ,"LCRS B141536.1-054241"      ,"0.059908"      ,"ALeRCE, ATLAS, ZTF"                             ,"ZTF, ATLAS"                                     ,"DEHVILS, ZTF"           ,"ATLAS; ZTF"                                     ,"ZTF20aazhyrs"          ,"ATLAS1 - ACAM1, P48 - ZTF-Cam"                                                          ,"P200 - DBSP, SALT - RSS"                  ,"1"      ,"1"      ,""                 ,"18.5371"            ,"g-ZTF"            ,"2020-05-11 05:18:37.002" ,"ALeRCE"             ,""                                                                                                                                                                                                   ,""
"59039" ,"SN 2020itj"  ,"14:34:48.394" ,"+08:10:10.42" ,"SN Ib"     ,"0.033"    ,"CGCG 047-108"               ,"0.032947"      ,"ALeRCE, ZTF, ATLAS, Pan-STARRS1"                ,"ZTF, ATLAS, Pan-STARRS1"                        ,"None"                   ,"ATLAS; Pan-STARRS1; ZTF"                        ,"ZTF20aaxvzja"          ,"ATLAS1 - ACAM1, P48 - ZTF-Cam, PS1 - GPC1"                                              ,"GTC - OSIRIS"                             ,"1"      ,"1"      ,""                 ,"20.0287"            ,"r-ZTF"            ,"2020-05-01 08:37:32.998" ,"ALeRCE"             ,""                                                                                                                                                                                                   ,""
"58414" ,"SN 2020hvp"  ,"16:21:45.390" ,"-02:17:21.37" ,"SN Ib"     ,"0.005247" ,""                           ,""              ,"ATLAS, Pan-STARRS1, ZTF, GaiaAlerts"            ,"ATLAS, Pan-STARRS1, ZTF, GaiaAlerts"            ,"Global SN Project, ZTF" ,"ATLAS; GaiaAlerts; Pan-STARRS1; ZTF"            ,"ATLAS20ktt"            ,"ATLAS1 - ACAM1, Gaia - Gaia-photometric, P48 - ZTF-Cam, PS1 - GPC1"                     ,"FTS - FLOYDS-S, P60 - SEDM"               ,"1"      ,"1"      ,""                 ,"18.183"             ,"orange-ATLAS"     ,"2020-04-21 12:24:28.800" ,"ATLAS_Bot1"         ,""                                                                                                                                                                                                   ,""
"58365" ,"SN 2020htt"  ,"10:31:38.384" ,"-17:51:08.08" ,"SN Ib"     ,"0.023"    ,"2MASX J10313870-1751047"    ,"0.023043"      ,"SIRAH, ATLAS, ZTF"                              ,"SIRAH, ATLAS, ZTF"                              ,"SIRAH"                  ,"ATLAS; ZTF"                                     ,"ZTF20aavgmli"          ,"ATLAS1 - ACAM1, LCO1m - Sinistro, P48 - ZTF-Cam"                                        ,"LT - SPRAT"                               ,"1"      ,"1"      ,""                 ,"18.66"              ,"r-Sloan"          ,"2020-04-17 06:18:00.000" ,"Dai"                ,""                                                                                                                                                                                                   ,""
"58293" ,"SN 2020hqz"  ,"20:17:32.786" ,"+00:00:28.87" ,"SN Ib"     ,"0.018199" ,""                           ,""              ,"ATLAS, ZTF, Pan-STARRS1"                        ,"ATLAS, ZTF, Pan-STARRS1"                        ,"ZTF"                    ,"ATLAS; Pan-STARRS1; ZTF"                        ,"ATLAS20kdd"            ,"ATLAS1 - ACAM1, P48 - ZTF-Cam, PS1 - GPC1"                                              ,"P60 - SEDM"                               ,"1"      ,"1"      ,""                 ,"18.846"             ,"orange-ATLAS"     ,"2020-04-17 14:21:07.200" ,"ATLAS_Bot1"         ,""                                                                                                                                                                                                   ,""
"58224" ,"SN 2020hoi"  ,"12:13:45.767" ,"+24:21:21.56" ,"SN Ib"     ,"0.02091"  ,""                           ,""              ,"ZTF, ATLAS, Pan-STARRS1"                        ,"ZTF, ATLAS, Pan-STARRS1"                        ,"ZTF"                    ,"ATLAS; Pan-STARRS1; ZTF"                        ,"ZTF18aakkrjm"          ,"ATLAS1 - ACAM1, P48 - ZTF-Cam, PS1 - GPC1"                                              ,"LT - SPRAT"                               ,"1"      ,"1"      ,""                 ,"19.92"              ,"r-ZTF"            ,"2020-04-15 05:57:21.024" ,"ZTF_AMPEL_NEW"      ,""                                                                                                                                                                                                   ,""
"56697" ,"SN 2020fkb"  ,"11:28:30.436" ,"+58:33:46.78" ,"SN Ib"     ,"0.01"     ,"NGC3690"                    ,"0.01041"       ,"ALeRCE"                                         ,"ZTF"                                            ,"Padova-Asiago"          ,"ZTF"                                            ,"ZTF18aarlpzd"          ,"Other - Other, P48 - ZTF-Cam"                                                           ,"Ekar - AFOSC"                             ,"1"      ,"1"      ,""                 ,"17.828"             ,"g-ZTF"            ,"2020-03-28 06:19:45.002" ,"ALeRCE"             ,""                                                                                                                                                                                                   ,""
