"ID","Name","RA","DEC","Obj. Type","Redshift","Host Name","Host Redshift","Reporting Group/s","Discovery Data Source/s","Classifying Group/s","Associated Group/s","Disc. Internal Name","Disc. Instrument/s","Class. Instrument/s","TNS AT","Public","End Prop. Period","Discovery Mag/Flux","Discovery Filter","Discovery Date (UT)","Sender","Remarks","Ext. catalog/s"
"55546","SN 2020ekq","07:57:13.156","+56:40:38.83","SN IIP","0.026","","","Pan-STARRS1","Pan-STARRS1","None","Pan-STARRS1","PS20act","PS1 - GPC1","NOT - ALFOSC","1","1","","19.95","i-Sloan","2020-03-11 05:49:55.200","PS1_Bot1","",""
"55297","SN 2020ecj","19:37:24.011","+36:19:52.22","SN IIP","0.03857","WISEA J193724.39+361954.4","0.038567","ALeRCE, ATLAS","ZTF, ATLAS","ZTF","ATLAS; ZTF","ZTF20aaspvan","ATLAS1 - ACAM1, P48 - ZTF-Cam","P60 - SEDM","1","1","","19.0655","g-ZTF","2020-03-05 12:38:23.001","ALeRCE","",""
"54963","SN 2020drl","07:28:11.550","+72:34:41.23","SN IIP","0.01213","","","ZTF, ATLAS, GaiaAlerts","ZTF, ATLAS, GaiaAlerts","ZTF","ATLAS; GaiaAlerts; ZTF","ZTF20aarbvub","ATLAS1 - ACAM1, Gaia - Gaia-photometric, P48 - ZTF-Cam","P60 - SEDM","1","1","","19.4","r-ZTF","2020-02-27 04:51:47.232","ZTF_AMPEL_NEW","",""
"54922","SN 2020dpw","20:37:10.550","+66:06:10.66","SN IIP","0.0048","NGC 6952","","GaiaAlerts, ZTF, ATLAS, Pan-STARRS1","GaiaAlerts, ZTF, ATLAS, Pan-STARRS1","None","ATLAS; GaiaAlerts; Pan-STARRS1; ZTF","","ATLAS1 - ACAM1, Gaia - Gaia-photometric, Other - Other, P48 - ZTF-Cam, PS1 - GPC1","Other - Other","1","1","","17","Clear-","2020-02-26 10:01:22.000","Wiggins","",""
"54089","SN 2020ckb","18:55:05.970","+39:31:33.56","SN IIP","0.02503","","","ZTF, ATLAS, GaiaAlerts, Pan-STARRS1","ZTF, ATLAS, GaiaAlerts, Pan-STARRS1","ZTF","ATLAS; GaiaAlerts; Pan-STARRS1; ZTF","ZTF20aanadof","ATLAS1 - ACAM1, Gaia - Gaia-photometric, P48 - ZTF-Cam, PS1 - GPC1","P60 - SEDM","1","1","","17.83","r-ZTF","2020-02-13 12:39:16.000","ZTF_AMPEL_NEW","",""
"52847","SN 2020aqb","00:41:37.640","-03:15:12.53","SN IIP","0.01794","","","ATLAS, ZTF, GaiaAlerts, Pan-STARRS1","ATLAS, ZTF, GaiaAlerts, Pan-STARRS1","ZTF","ATLAS; GaiaAlerts; Pan-STARRS1; ZTF","ATLAS20avv","ATLAS1 - ACAM1, Gaia - Gaia-photometric, P48 - ZTF-Cam, PS1 - GPC1","P60 - SEDM","1","1","","18.05","orange-ATLAS","2020-01-24 05:44:09.000","ATLAS_Bot1","",""
"49572","SN 2019wvv","04:04:35.040","-10:12:12.53","SN IIP","0.031","WISEA J040435.19-101211.5","","ALeRCE, ZTF, Pan-STARRS1, GaiaAlerts","ZTF, Pan-STARRS1, GaiaAlerts","None, ZTF","GaiaAlerts; Pan-STARRS1; ZTF","ZTF19acyplkt","Gaia - Gaia-photometric, P48 - ZTF-Cam, PS1 - GPC1","APO-3.5m - DIS, Lick-3m - KAST","1","1","","18.5985","r-ZTF","2019-12-16 05:46:43.000","ALeRCE","",""
"48829","SN 2019vti","12:51:52.980","+49:32:17.19","SN IIP","0.0401","","","ATLAS, ZTF","ATLAS, ZTF","ZTF","ATLAS; ZTF","ATLAS19bbts","ATLAS1 - ACAM1, P48 - ZTF-Cam","P200 - DBSP","1","1","","19.064","cyan-ATLAS","2019-11-29 13:59:31.000","ATLAS_Bot1","",""
"48221","SN 2019uwd","13:16:20.740","+30:40:48.79","SN IIP","0.018883","KUG 1313+309","0.018883","ALeRCE, ATLAS, ZTF","ZTF, ATLAS","ZTF","ALeRCE; ATLAS; ZTF","ZTF19ackjvtl","ATLAS1 - ACAM1, P48 - ZTF-Cam","P60 - SEDM","1","1","","18.1864","r-ZTF","2019-11-13 12:48:46.000","ALeRCE","",""
"46996","SN 2019tbq","05:11:47.381","+52:32:20.19","SN IIP","0.03","WISEA J051147.21+523214.4","","ALeRCE, ATLAS","ZTF, ATLAS","ZTF","ALeRCE; ATLAS","ZTF19acgzzea","ATLAS1 - ACAM1, P48 - ZTF-Cam","P60 - SEDM","1","1","","19.2865","g-ZTF","2019-10-22 12:08:31.000","ALeRCE","",""
"46982","SN 2019tbc","02:12:36.595","-13:42:11.14","SN IIP","0.05","","","ZTF, ATLAS, Pan-STARRS1","ZTF, ATLAS, Pan-STARRS1","BTDG","ATLAS; Pan-STARRS1; ZTF","ZTF19achjqbk","ATLAS1 - ACAM1, P48 - ZTF-Cam, PS1 - GPC1","Magellan-Clay - LDSS-3","1","1","","19.12","r-ZTF","2019-10-23 07:32:24.000","ZTF_AMPEL_NEW","",""
"46748","SN 2019ssi","23:30:56.130","+15:29:29.98","SN IIP","0.013","UGC 12640","0.013373","ALeRCE, ATLAS, ZTF, Pan-STARRS1, GaiaAlerts","ZTF, ATLAS, Pan-STARRS1, GaiaAlerts","ePESSTO+, ZTF","ALeRCE; ATLAS; GaiaAlerts; Pan-STARRS1; ZTF","ZTF19acftfav","ATLAS1 - ACAM1, Gaia - Gaia-photometric, P48 - ZTF-Cam, PS1 - GPC1","ESO-NTT - EFOSC2-NTT, P60 - SEDM","1","1","","18.4167","r-ZTF","2019-10-18 04:44:20.000","ALeRCE","",""
"46605","SN 2019smw","11:13:13.440","+44:46:44.94","SN IIP","0.02","","","ZTF, GaiaAlerts, ATLAS","ZTF, GaiaAlerts, ATLAS","ZTF","ATLAS; GaiaAlerts; ZTF","ZTF19aceckht","ATLAS1 - ACAM1, Gaia - Gaia-photometric, P48 - ZTF-Cam","APO-3.5m - DIS","1","1","","18.81","g-ZTF","2019-10-09 12:09:56.000","ZTF_AMPEL_NEW","",""
"46375","SN 2019see","23:16:09.688","+13:30:38.38","SN IIP","0.035","","","Pan-STARRS1, ZTF, ATLAS","Pan-STARRS1, ZTF, ATLAS","BTDG","ATLAS; Pan-STARRS1; ZTF","PS19fxa","ATLAS1 - ACAM1, P48 - ZTF-Cam, PS1 - GPC1","Magellan-Clay - LDSS-3","1","1","","19.9","i-Sloan","2019-10-05 06:40:19.000","PS1_Bot1","",""
